filename,face
18_1_4_20170117193229357_jpg.rf.b7f12ffbae296f38238d0c07ae3e4307.jpg,1
35_1_0_20170117203328856_jpg.rf.04276ca6b72fd2af03c79ba31ad6232f.jpg,1
1_0_3_20161220142926159_jpg.rf.1031a79ffebbcb46669e81f39853b6ad.jpg,1
65_1_0_20170110175333844_jpg.rf.3cb692199c6fe705b2efba19539f1e69.jpg,1
16_0_0_20170110232040957_jpg.rf.54d90e20eb62d5249cf12ebe46be4128.jpg,1
33_1_1_20170115234946456_jpg.rf.31c0aed3e6bbb98964817f005c1e9148.jpg,1
57_0_3_20170105180627374_jpg.rf.8af4e4a754171d25ad13496df9a3ccb9.jpg,1
25_1_3_20170119154344723_jpg.rf.fd723abb72eaf381298decb1c9a0a4e6.jpg,1
68_1_1_20170110183842657_jpg.rf.9e44843ff09844489623e56e9be9dcbc.jpg,1
23_0_4_20170116221049556_jpg.rf.cb2df8db7b5176bca66920a0a2043a6e.jpg,1
31_1_0_20170103183716629_jpg.rf.2c328e4024abe6d4e2663648a2c77679.jpg,1
4_1_2_20161219141110241_jpg.rf.cef8619d52bc63936c0ebf862c3766e3.jpg,1
66_1_0_20170110122210413_jpg.rf.7a0524cf171dec5359220355c6e13368.jpg,1
1_1_2_20161219162714326_jpg.rf.32efe36ad11a8791e02bcc4921f0c7e7.jpg,1
37_0_1_20170116194823302_jpg.rf.c28dd038463e5dcf8a23eba7d72ad59f.jpg,1
62_0_1_20170113184846159_jpg.rf.15a699d5204b3fab948cc6c7c82f77dd.jpg,1
23_1_1_20170112234139392_jpg.rf.800541f8d4d072557c0b990593dbfa0c.jpg,1
26_1_2_20170116163413372_jpg.rf.fe25c3ad031bc20b0c2b06bcf9fd990f.jpg,1
20_1_3_20170104231528577_jpg.rf.351fa8d64ca7d74b9dddfd50bb18f02d.jpg,1
27_1_2_20170116172649981_jpg.rf.4fdb5f5da51d5abb5b70eb9ef61cacb2.jpg,1
50_1_0_20170109012444348_jpg.rf.18f0aa624d43e29846ad0a8bc73023cf.jpg,1
4_1_4_20161221201507280_jpg.rf.e3a29fb4d495a9401cd89efe2ae4fc21.jpg,1
1_0_3_20161219230642504_jpg.rf.18faf738ada0b818c63d4d55781c5138.jpg,1
24_1_0_20170117194800876_jpg.rf.99b00d7a6d91fd19ce62871fe2e8c4b3.jpg,1
24_1_4_20170103223935080_jpg.rf.bb854e058d6ff1f05a07de91a36ed7d6.jpg,1
58_1_3_20170109150757996_jpg.rf.4a2020fb0c010489f1ee1aecdbf84513.jpg,1
73_0_0_20170104213702565_jpg.rf.01d7fc1ed781e2ad88dd6a6f4ed5d200.jpg,1
22_1_3_20170119163344958_jpg.rf.b48d80fa90a97a416fcf92fe3b29a28c.jpg,1
85_1_0_20170110183611657_jpg.rf.58ba7b9262929ffa04d8489af995d08f.jpg,1
84_1_0_20170120230257434_jpg.rf.4b968a6e150278699170d56b146e3fbf.jpg,1
38_0_0_20170116211634643_jpg.rf.03876a7f23979fc31e7df7cd79c445c2.jpg,1
26_1_2_20170116184054722_jpg.rf.aec3ae134d4202fc5a01c3d4b5bbba61.jpg,1
